GlobalId,IFC_Class,Name,ObjectType,Tag,Primary_Material,Property_Count
3_91ydE91C5htoPgiA4l3t,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,IDfe241f27-3890-4c16-bdf2-66ab0a12f0f7,STEEL/SS400,17
0feyTkynP5IPEKhlyXDHpx,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID29a3c76e-f316-4549-9394-aeff21351cfb,STEEL/SS400,17
1UmCwt8A9BU8RQj5MfBS7Y,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID5ec0ceb7-20a2-4b78-86da-b455a92dc1e2,STEEL/SS400,17
3Teq1e10TFmvcJEHsk628U,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,IDdda34068-0407-4fc3-9993-391dae18221e,STEEL/SS400,17
32pAJTXnnFkw$kxhLDrPdS,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,IDc2cca4dd-871c-4fbb-afee-eeb54dd599dc,STEEL/SS400,17
2C4IQvql95KwVS0hoVkFB1,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID8c1126b9-d2f2-4553-a7dc-02bc9fb8f2c1,STEEL/SS400,17
14fwkBf3j4s9DwUyp_sNDG,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID44a7ab8b-a43b-44d8-937a-7bccfed97350,STEEL/SS400,17
04S7nS58zA_Bur9Z76WQPj,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID04707c5c-148f-4af8-be35-2631c681a66d,STEEL/SS400,17
1jzFtbAHX4rBviT98Zjeo3,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID6df4fde5-2918-44d4-be6c-749223b68c83,STEEL/SS400,17
19W3hXy6f15wYj1mSM3pgM,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID49803ae1-f06a-4117-a8ad-0707160f3a96,STEEL/SS400,17
1HhvZ2TTLDuA4jD5b4peHY,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID51af98c2-75d5-4de0-a12d-345944ce8462,STEEL/SS400,17
2TWpgIQIL7SA59r3BB7EcU,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID9d833a92-6925-4770-a149-d432cb1ce99e,STEEL/SS400,17
3RahqxYU98bg5hxp68f1I_,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,IDdb92bd3b-89e2-4896-a16b-ef3188a414be,STEEL/SS400,17
3rNQD3tc5FBQeO2Jq5AeOP,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,IDf55da343-de61-4f2d-aa18-093d052a8619,STEEL/SS400,17
1GpmK5Y7v4MxRSb3SjcUuh,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,ID50cf0505-887e-445b-b6dc-94372d99ee2b,STEEL/SS400,17
3tq2tegPX5P9GenEc5zn5a,IfcBeam,PURLIN,ZZ152-1.5-16-61-16-65,IDf7d02de8-a998-4564-9428-c4e985f71164,STEEL/SS400,17
1N7U465R1CFgUx1xPosz2x,IfcBeam,BEAM,SHS100*100*3.2,B-0(?),STEEL/SS400,17
2PuDpwfybCKehwxKNfw3hb,IfcBeam,BEAM,SHS100*100*3.2,ID99e0dcfa-a7c9-4c52-8afa-ed45e9e83ae5,STEEL/SS400,17
0BlruepRX4cQaPmwhE$Us$,IfcBeam,BEAM,RHS100*50*3.2,B-0(?),STEEL/SS400,17
2$$ysilYr458Q7uU$h7hPx,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
1K_4pmbCDDOxpt$_Y0NO9l,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
0EvOjMc3j4pfUoStpWi4_x,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2I9ZPuhIbDLfAYjUNAKuiy,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
3OZ8$0XyP0ghkvAqa_eq6r,IfcBeam,PLATE,PL6x200,1SD-3,STEEL/SS400,17
1bvqDZWcTFQOLtKtSPgu2Z,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
17f8Nrf09DfAgM1ke72dc7,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
0g3xY65$n9kfiQ4IgpaavP,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
03R_i_FvnFygtwFSB7lkmi,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
0UelxUXxD23Qzdo3BZLRQ7,IfcBeam,PLATE,PL6x200,1SD-3,STEEL/SS400,17
02x0mATxb4dQjY914HoOH5,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
1iYb3BS0rCcv_IkmlXoe6r,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2l8vGginr8sf$igImsuVPW,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2QGAScmFX3uPHeRP_S_8mo,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
0bbsdjSNT8Dxnsy3ZMHUTd,IfcBeam,PLATE,PL6x200,1SD-3,STEEL/SS400,17
0wA$fWHYz319gm9r1qk2mv,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2QIObkFIz5X8MP_RPiWXlY,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2n_lrn$SD2o9AdXvHoZc4O,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
3GGLyCdKHD9wXSOGM7xz_3,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
1omFghB81Agx6MECOCMe8s,IfcBeam,PLATE,PL6x200,1SD-3,STEEL/SS400,17
2vOuSmdzv4gRKJtMv4wqVI,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2NC7PuvhL1d9PMuD4s_FDC,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
39_HPb7TX73flqdK2oQOyO,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
2TbcUxWIv0qOxit7A95pAN,IfcBeam,ANCHOR ROD,D12,z-0(?),STEEL/SS400,17
3lE3rOQZz0X96ahk7FyiJx,IfcBeam,PLATE,PL6x200,1SD-3,STEEL/SS400,17
2F3_xXGjL6LBm9mkM$rz_e,IfcBeam,DUMMY,ROD9,ID8f0feee1-42d5-4654-bc09-c2e5bfd7dfa8,STEEL/SD40,17
3GoT$578bD8OBQ1z5Ipj_L,IfcBeam,DUMMY,ROD9,IDd0c9dfc5-1c89-4d21-82da-07d152cedf95,STEEL/SD40,17
2xANvgtcvExRKgtr6vV_yr,IfcBeam,DUMMY,ROD9,IDbb297e6a-de6e-4eed-b52a-df51b97fef35,STEEL/SD40,17
2C$S751jDFegCDNhugNmLd,IfcBeam,DUMMY,ROD9,ID8cfdc1c5-06d3-4fa2-a30d-5ebe2a5f0567,STEEL/SD40,17
0Sg72SIoL5QObxe3Ho$ILF,IfcBeam,DUMMY,ROD9,ID1ca8709c-4b25-4569-897b-a03472fd254f,STEEL/SD40,17
2Uk1OMfSzBI9pxmLLUEsmO,IfcBeam,DUMMY,ROD9,ID9eb81616-a5cf-4b48-9cfb-c1555e3b6c18,STEEL/SD40,17
0RSfl1iEr4U9KWKoUxYtrB,IfcBeam,DUMMY,ROD9,ID1b729bc1-b0ed-4478-9520-5327bb8b7d4b,STEEL/SD40,17
3JV3HxJBT8qguk9E$lZ4an,IfcBeam,DUMMY,ROD9,IDd37c347b-4cb7-48d2-ae2e-24efef8c4931,STEEL/SD40,17
3QWSqCVljFQBz$EJxrEh9S,IfcBeam,DUMMY,ROD9,IDda81cd0c-7efb-4f68-bf7f-393ef53ab25c,STEEL/SD40,17
3CMNMn_JDFnPSKTYr5g4tf,IfcBeam,DUMMY,ROD9,IDcc5975b1-f933-4fc5-9714-762d45a84de9,STEEL/SD40,17
1ryGHW9Q91zP5zHpCLihr8,IfcBeam,DUMMY,ROD9,ID75f10460-25a2-41f5-917d-473315b2bd48,STEEL/SD40,17
3E3YTU7ULAVRnxzcvssAjv,IfcBeam,DUMMY,ROD9,IDce0e275e-1de5-4a7d-bc7b-f66e76d8ab79,STEEL/SD40,17
3aFjcSO454X8QCuB6LeY4h,IfcBeam,DUMMY,ROD9,IDe43ed99c-6041-4484-868c-e0b195a2212b,STEEL/SD40,17
0siz4rTpL0A8rOLHSCJBFq,IfcBeam,DUMMY,ROD9,ID36b3d135-7735-4028-8d58-55170c4cb3f4,STEEL/SD40,17
1OqEi41Xf6f9bwjus1jXj$,IfcBeam,DUMMY,ROD9,ID58d0eb04-061a-46a4-997a-b78d81b61b7f,STEEL/SD40,17
2VKKaARRHApQfeDiT0xckI,IfcBeam,DUMMY,ROD9,ID9f51490a-6db4-4acd-aa68-36c740ee6b92,STEEL/SD40,17
25V0eunhTFn9j1WUOiH53b,IfcBeam,DUMMY,ROD9,ID857c0a38-c6b7-4fc4-9b41-81e62c4450e5,STEEL/SD40,17
2P17JhqjX6K9A6DMXJg2ke,IfcBeam,DUMMY,ROD9,ID990474eb-d2d8-4650-9286-356853a82ba8,STEEL/SD40,17
2_1aMRF9jBbRpmVaPnjViN,IfcBeam,DUMMY,ROD9,IDbe06459b-3c9b-4b95-bcf0-7e4671b5fb17,STEEL/SD40,17
0Elw_T1XD4jQc8Oa96EDb3,IfcBeam,DUMMY,ROD9,ID0ebfaf9d-0613-44b5-a988-62424638d943,STEEL/SD40,17
3y3FH2tf55CQN8yJ$u0MSN,IfcBeam,DUMMY,ROD9,IDfc0cf442-de91-4531-a5c8-f13ff8016717,STEEL/SD40,17
04mFHY93T8X8DKFR6VeBom,IfcBeam,DUMMY,ROD9,ID04c0f462-2437-4884-8354-3db19fa0bcb0,STEEL/SD40,17
3l_zRmO2r6Th8WMl51tsyz,IfcBeam,DUMMY,ROD9,IDeffbd6f0-602d-4676-b220-5af141df6f3d,STEEL/SD40,17
2_dvxccxPArgfNaT5N_s1C,IfcBeam,DUMMY,ROD9,IDbe9f9ee6-9bb6-4ad6-aa57-91d157fb604c,STEEL/SD40,17
3a8Ec_lMTFiPm0ainFm8M1,IfcBeam,DUMMY,ROD9,IDe420e9be-bd67-4fb1-9c00-92cc4fc08581,STEEL/SD40,17
2DyXh2H$PDhxC0tnyGG0jO,IfcBeam,DUMMY,ROD9,ID8df21ac2-47f6-4daf-b300-df1f10400b58,STEEL/SD40,17
24UGGb_qnEExIJeCn3ohVs,IfcBeam,DUMMY,ROD9,ID84790425-fb4c-4e3b-b493-a0cc43cab7f6,STEEL/SD40,17
0lmxGxzOn6bf0_dwDuSr89,IfcBeam,DUMMY,ROD9,ID2fc3b43b-f58c-4696-903e-9fa378735209,STEEL/SD40,17
3p2CuhYkHEeBaU5xTWNib7,IfcBeam,DUMMY,ROD9,IDf308ce2b-8ae4-4ea0-b91e-17b7605ec947,STEEL/SD40,17
0q9LqqdE58lw67xlIhT9CC,IfcBeam,DUMMY,ROD9,ID34255d34-9ce1-48bf-a187-eef4ab74930c,STEEL/SD40,17
0gJdhzjC9Bnwd8EOYQW9vV,IfcBeam,DUMMY,ROD9,ID2a4e7afd-b4c2-4bc7-a9c8-39889a809e5f,STEEL/SD40,17
1e3ovIllj6ZOAI7UQl2o_O,IfcBeam,DUMMY,ROD9,ID680f2e52-befb-468d-8292-1de6af0b2f98,STEEL/SD40,17
3eHUW14sXAPwgYkEfaQ4_0,IfcBeam,DUMMY,ROD9,IDe845e801-1368-4a67-aaa2-b8ea64684f80,STEEL/SD40,17
2v_jujBeH9YexwClF9nxPf,IfcBeam,DUMMY,ROD9,IDb9fade2d-2e84-498a-8efa-32f3c9c7b669,STEEL/SD40,17
27qLAFeLLB4fEil6wNZdJd,IfcBeam,DUMMY,ROD9,ID87d1528f-a155-4b12-93ac-bc6e978e74e7,STEEL/SD40,17
0JDMPAJJ94CPiNnA63xPTR,IfcBeam,DUMMY,ROD9,ID1335664a-4d32-4431-9b17-c4a183ed975b,STEEL/SD40,17
2GPNFG20H0WRvmFwthvhE1,IfcBeam,DUMMY,ROD9,ID906573d0-0804-4081-be70-3fadebe6b381,STEEL/SD40,17
2hiAIyQvXE_QkZvCK1ga0H,IfcBeam,DUMMY,ROD9,IDabb0a4bc-6b98-4ef9-aba3-e4c501aa4011,STEEL/SD40,17
1qnyNWW2rBBRaRzM_y34yA,IfcBeam,DUMMY,ROD9,ID74c7c5e0-802d-4b2d-b91b-f56fbc0c4f0a,STEEL/SD40,17
2xmjCargT8ZvNwQ6yAPRvn,IfcBeam,DUMMY,ROD9,IDbbc2d324-d6a7-488f-95fa-686f0a65be71,STEEL/SD40,17
2W1799PkfBThw4eaqPLNdk,IfcBeam,DUMMY,ROD9,IDa0047249-66ea-4b76-be84-a24d195579ee,STEEL/SD40,17
1lFjNu51P0DO4IS_aCozJc,IfcBeam,DUMMY,ROD9,ID6f3ed5f8-1416-4035-8112-73e90ccbd4e6,STEEL/SD40,17
0rMIWWR6PDpelO$mk7JBec,IfcBeam,DUMMY,ROD9,ID35592820-6c66-4dce-8bd8-ff0b874cba26,STEEL/SD40,17
2he9eAKbr3PflHjZwZzKNB,IfcBeam,DUMMY,ROD9,IDaba09a0a-525d-4366-9bd1-b63ea3f545cb,STEEL/SD40,17
01yBc$ilr73woe5i2OA__D,IfcBeam,DUMMY,ROD9,ID01f0b9bf-b2fd-470f-aca8-16c0982bef8d,STEEL/SD40,17
2A1vzRuFnBB8ANF85Q_ZEl,IfcBeam,DUMMY,ROD9,ID8a079f5b-e0fc-4b2c-8297-3c815afa33af,STEEL/SD40,17
2E4J$4_iPFXwFzHProKPzA,IfcBeam,DUMMY,ROD9,ID8e113fc4-fac6-4f87-a3fd-459d72519f4a,STEEL/SD40,17
